order,category,rank,image_id,winner,display_candidate,unet_dice,sam3_dice,delta_dice_sam3_minus_unet,unet_iou,sam3_iou,delta_iou_sam3_minus_unet,quad_path
1,sam3_strong_win,1,79a7691a90b1_15,SAM3,yes,0.8512483239173889,0.99492775702393,0.14367943310654108,0.7410203814506531,0.9899067096688475,0.24888632821819445,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\01_sam3_strong_win_rank1_79a7691a90b1_15_quad.png
2,sam3_strong_win,2,79a7691a90b1_13,SAM3,yes,0.8564273118972778,0.9931005977362208,0.136673285838943,0.7489049434661865,0.9862957466291717,0.23739080316298522,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\02_sam3_strong_win_rank2_79a7691a90b1_13_quad.png
3,sam3_strong_win,3,79a7691a90b1_07,SAM3,yes,0.8599562048912048,0.9948632477384756,0.13490704284727073,0.7543185949325562,0.9897789982309035,0.2354604032983474,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\03_sam3_strong_win_rank3_79a7691a90b1_07_quad.png
4,sam3_strong_win,4,79a7691a90b1_14,SAM3,no,0.8588144183158875,0.9936150032755987,0.13480058495971126,0.7525633573532104,0.9873110256111065,0.23474766825789606,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\04_sam3_strong_win_rank4_79a7691a90b1_14_quad.png
5,sam3_strong_win,5,8d5423cb763c_09,SAM3,no,0.868220865726471,0.9959094497292769,0.12768858400280592,0.7671292424201965,0.9918522283281717,0.22472298590797513,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\05_sam3_strong_win_rank5_8d5423cb763c_09_quad.png
6,sam3_strong_win,6,eeb7eeca738e_10,SAM3,no,0.8710626363754272,0.9957063482756965,0.12464371190026924,0.7715775370597839,0.9914494098077159,0.21987187274793196,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\06_sam3_strong_win_rank6_eeb7eeca738e_10_quad.png
7,sam3_strong_win,7,11fcda0a9e1c_01,SAM3,no,0.8767293691635132,0.9954922376790614,0.11876286851554818,0.7805148363113403,0.9910249328277497,0.2105100965164094,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\07_sam3_strong_win_rank7_11fcda0a9e1c_01_quad.png
8,sam3_strong_win,8,eeb7eeca738e_07,SAM3,no,0.8761019706726074,0.994145433212768,0.11804346254016063,0.7795208692550659,0.9883590193243705,0.20883815006930462,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\08_sam3_strong_win_rank8_eeb7eeca738e_07_quad.png
9,sam3_strong_win,9,0495dcf27283_01,SAM3,no,0.8755515813827515,0.9916475723360573,0.1160959909533058,0.7786498069763184,0.9834335150393938,0.20478370806307544,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\09_sam3_strong_win_rank9_0495dcf27283_01_quad.png
10,sam3_strong_win,10,878738468f6b_01,SAM3,no,0.8865221738815308,0.9936151796376931,0.10709300575616232,0.7961740493774414,0.987311373873846,0.19113732449640464,D:\DeepLearning Workplace\Project\04-Unet\code\Pytorch-UNet\exp01_unet_final_bilinear_full5088_e5_bs1_lr1e-5_scale0.5_noamp_workers2\quad_visualizations\10_sam3_strong_win_rank10_878738468f6b_01_quad.png
